epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5622,0.76199,4.33865,0.00694,0.0079,0.96873,0.34151,0.28086,0.55758,3.56955,0.00653,0.000463459,0.000463459,0.000463459
2,45.7269,0.81755,3.55848,0.00792,0.78205,0.20858,0.43061,0.36316,0.60027,3.08613,0.0073,0.000930489,0.000930489,0.000930489
3,56.4238,0.92801,2.93212,0.00854,0.5486,0.5694,0.59068,0.48129,0.71957,2.32594,0.00887,0.00138809,0.00138809,0.00138809
4,67.5048,0.87529,2.4101,0.00816,0.63838,0.63697,0.69038,0.55323,0.7493,1.84728,0.00918,0.00138656,0.00138656,0.00138656
5,79.0236,0.84969,2.09701,0.00783,0.73953,0.65684,0.74263,0.59938,0.72663,1.76164,0.00892,0.00137241,0.00137241,0.00137241
6,89.5667,0.8589,1.87434,0.00794,0.76861,0.64242,0.76577,0.61923,0.75795,1.35112,0.00948,0.00135826,0.00135826,0.00135826
7,100.391,0.86972,1.77089,0.00848,0.77279,0.70329,0.80303,0.64939,0.70798,0.82669,0.00906,0.00134412,0.00134412,0.00134412
8,110.989,0.84479,1.51353,0.00763,0.74897,0.73551,0.80326,0.66274,0.67004,0.83728,0.00815,0.00132997,0.00132997,0.00132997
9,121.525,0.82434,1.33716,0.00803,0.698,0.78156,0.77715,0.65216,0.60791,0.80337,0.00727,0.00131582,0.00131582,0.00131582
10,132.52,0.77899,1.20916,0.00719,0.71694,0.81443,0.80989,0.67521,0.63941,0.7413,0.00764,0.00130168,0.00130168,0.00130168
11,143.884,0.79775,1.21014,0.00758,0.74985,0.80186,0.83573,0.68903,0.67347,0.61815,0.00813,0.00128753,0.00128753,0.00128753
12,154.988,0.80773,1.09492,0.00749,0.76112,0.77839,0.82941,0.68691,0.6473,0.74277,0.00797,0.00127338,0.00127338,0.00127338
13,166.28,0.7788,1.01721,0.0072,0.72692,0.81983,0.82248,0.68787,0.63067,0.68035,0.00776,0.00125923,0.00125923,0.00125923
14,177.516,0.7849,0.99843,0.00715,0.79933,0.80135,0.85737,0.69926,0.68815,0.60722,0.00814,0.00124509,0.00124509,0.00124509
15,188.255,0.77293,0.91965,0.00727,0.81969,0.85561,0.88077,0.72577,0.65817,0.59481,0.00814,0.00123094,0.00123094,0.00123094
16,198.807,0.78671,0.91786,0.00742,0.89592,0.81352,0.89897,0.75205,0.60421,0.54215,0.00725,0.00121679,0.00121679,0.00121679
17,209.511,0.74533,0.78261,0.00698,0.79735,0.83467,0.88608,0.748,0.61499,0.60547,0.00737,0.00120265,0.00120265,0.00120265
18,220.254,0.74859,0.79901,0.00692,0.83218,0.85743,0.88421,0.74545,0.59417,0.4895,0.0072,0.0011885,0.0011885,0.0011885
19,231.461,0.73299,0.76276,0.00674,0.84006,0.82639,0.8834,0.78157,0.55333,0.50084,0.00661,0.00117435,0.00117435,0.00117435
20,242.523,0.75105,0.73066,0.00712,0.78342,0.86631,0.88576,0.72566,0.67217,0.56405,0.00799,0.00116021,0.00116021,0.00116021
21,253.003,0.77171,0.76635,0.00716,0.80928,0.78641,0.86717,0.70958,0.63036,0.58278,0.00774,0.00114606,0.00114606,0.00114606
22,263.554,0.73801,0.72389,0.00676,0.8023,0.8338,0.86039,0.72667,0.56554,0.58265,0.00661,0.00113191,0.00113191,0.00113191
23,274.719,0.71267,0.66825,0.0063,0.84236,0.83644,0.89066,0.74486,0.58781,0.51473,0.00697,0.00111776,0.00111776,0.00111776
24,285.253,0.69262,0.64095,0.00616,0.85011,0.82933,0.88135,0.75008,0.57894,0.51826,0.00697,0.00110362,0.00110362,0.00110362
25,296.159,0.67329,0.67882,0.00627,0.83664,0.80939,0.88025,0.75478,0.53112,0.56863,0.00655,0.00108947,0.00108947,0.00108947
26,306.973,0.71687,0.65848,0.00672,0.82692,0.85181,0.89377,0.78092,0.56282,0.52104,0.00675,0.00107532,0.00107532,0.00107532
27,317.729,0.70978,0.63101,0.00654,0.86382,0.82829,0.89572,0.75539,0.59669,0.51713,0.00704,0.00106118,0.00106118,0.00106118
28,328.7,0.68375,0.59129,0.00632,0.88753,0.79136,0.88574,0.75007,0.56831,0.54122,0.00661,0.00104703,0.00104703,0.00104703
29,339.731,0.73118,0.62904,0.00672,0.85308,0.85676,0.91793,0.79731,0.53898,0.45842,0.00637,0.00103288,0.00103288,0.00103288
30,350.557,0.69117,0.58605,0.00638,0.84179,0.89635,0.91888,0.79767,0.51284,0.45302,0.00596,0.00101873,0.00101873,0.00101873
