epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7006,1.14256,4.33181,0.0129,0.5749,0.27358,0.38546,0.24082,1.13255,3.3504,0.01513,0.000469808,0.000469808,0.000469808
2,70.6838,1.14388,3.37886,0.01269,0.48259,0.53471,0.51952,0.29959,1.34187,2.59754,0.01908,0.000936775,0.000936775,0.000936775
3,103.012,1.20313,3.05612,0.0134,0.64463,0.6469,0.65367,0.34188,1.56507,2.24148,0.02327,0.00139431,0.00139431,0.00139431
4,134.011,1.24643,2.69071,0.0145,0.67944,0.72653,0.69927,0.49964,0.98618,1.62615,0.01287,0.00138656,0.00138656,0.00138656
5,165.289,1.25164,2.39068,0.01436,0.69271,0.67491,0.71343,0.48775,1.11585,1.38846,0.01455,0.00137241,0.00137241,0.00137241
6,196.976,1.2556,2.20176,0.01417,0.72065,0.69409,0.74666,0.4616,1.40384,1.21529,0.01888,0.00135826,0.00135826,0.00135826
7,228.057,1.23744,1.95193,0.01412,0.73084,0.71949,0.78898,0.47498,1.38995,1.04516,0.01947,0.00134412,0.00134412,0.00134412
8,259.604,1.22867,1.8371,0.01373,0.75767,0.7439,0.79423,0.55663,1.12112,0.9806,0.01477,0.00132997,0.00132997,0.00132997
9,290.699,1.23749,1.77387,0.01447,0.75968,0.74422,0.80717,0.57772,1.09618,0.81386,0.01474,0.00131582,0.00131582,0.00131582
10,323.739,1.22289,1.65954,0.01363,0.71552,0.76225,0.79294,0.6036,0.92941,0.84987,0.01187,0.00130168,0.00130168,0.00130168
11,354.523,1.2065,1.56141,0.01367,0.81207,0.7611,0.84184,0.62661,1.00113,0.6992,0.01335,0.00128753,0.00128753,0.00128753
12,386.472,1.18449,1.44282,0.01316,0.74634,0.81617,0.85445,0.6557,0.88346,0.67959,0.01084,0.00127338,0.00127338,0.00127338
13,417.967,1.16092,1.37637,0.01251,0.85196,0.77403,0.87008,0.62668,1.06221,0.6995,0.01424,0.00125923,0.00125923,0.00125923
14,449.998,1.21318,1.34788,0.01361,0.80556,0.7681,0.86898,0.68878,0.82404,0.65634,0.01045,0.00124509,0.00124509,0.00124509
15,480.842,1.17789,1.30146,0.013,0.83024,0.82732,0.86066,0.63388,1.04562,0.68154,0.01378,0.00123094,0.00123094,0.00123094
16,513.311,1.18262,1.25842,0.01327,0.85588,0.73295,0.87339,0.65068,0.99181,0.62228,0.01259,0.00121679,0.00121679,0.00121679
